subject,Trial,Degree,Picturetype,numfix,headfix,bodyfix,accuracy
105,6,225,2,3,0,0,0
105,7,225,3,0,0,0,0
105,8,315,3,10,0,0,1
105,9,315,2,0,0,0,1
105,10,225,3,3,0,0,0
105,11,0,2,0,0,0,1
105,12,45,3,0,0,0,1
105,13,270,1,3,0,0,0
105,14,45,3,1,0,0,1
105,15,315,3,0,0,0,1
105,16,315,1,0,0,0,1
105,17,180,2,0,0,0,0
105,18,270,3,0,0,0,1
105,19,225,2,0,0,0,0
105,20,270,3,2,0,0,1
105,21,90,3,0,0,0,0
105,22,135,1,11,0,0,0
105,23,135,2,0,0,0,1
105,24,90,1,6,0,0,1
105,25,270,2,10,0,0,1
105,26,135,2,0,0,0,1
105,27,225,1,0,0,0,1
105,28,0,2,0,12,0,1
105,29,135,2,0,0,0,1
105,30,315,2,0,0,0,1
105,31,135,1,1,0,0,1
105,32,180,1,0,0,0,1
105,33,90,3,2,0,0,1
105,34,180,3,0,0,0,0
105,35,180,1,0,0,0,0
105,36,225,3,22,0,0,1
105,37,135,3,0,0,0,1
105,38,90,2,5,0,0,1
105,39,45,2,0,0,0,1
105,40,180,2,22,5,0,0
105,41,270,1,14,0,2,1
105,42,225,1,0,0,0,1
105,43,315,3,0,0,0,1
105,44,0,1,0,0,0,1
105,45,315,2,0,2,0,1
105,46,225,3,0,0,0,1
105,47,225,1,8,0,0,1
105,48,0,3,0,0,0,1
105,49,0,2,0,0,0,1
105,50,90,3,22,0,0,1
105,51,225,2,0,0,0,1
105,52,90,3,0,0,0,1
105,53,180,2,0,0,0,1
105,54,45,1,0,0,0,1
105,55,45,3,0,0,0,1
105,56,90,1,12,0,0,1
105,57,270,2,12,0,0,1
105,58,180,1,0,0,0,1
105,59,135,3,0,0,0,1
105,60,45,1,0,0,0,1
105,61,0,3,0,0,0,1
105,62,180,3,0,0,0,1
105,63,135,3,3,0,0,1
105,64,90,2,0,0,0,1
105,65,225,2,0,0,0,1
105,66,45,1,7,0,0,1
105,67,315,2,19,0,0,1
105,68,270,1,0,0,0,1
105,69,180,1,0,0,0,1
105,70,45,2,0,0,0,1
105,71,90,2,0,0,0,1
105,72,315,1,12,0,0,1
105,73,135,1,1,0,0,0
105,74,45,3,6,0,0,1
105,75,270,2,2,0,0,1
105,76,45,2,0,0,0,1
105,77,180,3,0,0,0,1
105,78,225,1,0,0,0,1
105,79,0,3,0,13,0,1
105,80,0,1,0,0,0,1
105,81,180,3,3,0,0,0
105,82,180,2,0,0,0,1
105,83,270,3,1,0,0,1
105,84,90,1,0,0,0,1
105,85,90,1,0,0,0,1
105,86,45,1,0,0,0,1
105,87,90,2,0,0,0,1
105,88,315,3,0,0,0,1
105,89,270,2,0,0,0,1
105,90,135,2,4,0,0,1
105,91,135,1,0,0,0,1
105,92,0,3,0,0,0,1
105,93,0,2,0,0,0,1
105,94,270,3,0,0,0,1
105,95,270,1,0,0,0,1
105,96,135,3,0,0,0,1
106,1,135,2,0,0,8,1
106,2,45,3,3,0,0,1
106,3,180,2,0,0,7,1
106,4,315,1,0,0,0,1
106,5,315,3,0,0,0,1
106,6,135,2,1,0,6,1
106,7,315,2,0,0,0,1
106,8,0,1,0,0,0,1
106,9,225,1,0,0,0,1
106,10,225,3,0,0,0,1
106,11,225,2,0,0,3,1
106,12,270,3,0,0,0,1
106,13,0,2,0,0,0,1
106,14,45,3,1,0,0,1
106,15,315,1,0,0,0,1
106,16,0,2,0,0,0,1
106,17,180,1,3,0,0,1
106,18,315,2,0,0,4,1
106,19,45,2,0,0,0,1
106,20,135,1,0,0,7,1
106,21,270,1,1,0,0,1
106,22,135,2,0,0,15,1
106,23,90,3,0,0,0,1
106,24,315,1,0,0,0,1
106,25,225,3,0,0,0,1
106,26,225,2,0,0,0,1
106,27,270,3,0,0,0,1
106,28,135,1,2,0,0,1
106,29,270,2,0,0,1,1
106,30,0,1,0,0,0,1
106,31,90,1,0,0,0,1
106,32,315,3,0,0,5,1
106,33,90,2,1,0,0,1
106,34,180,1,7,0,6,1
106,35,180,2,1,0,0,1
106,36,315,2,0,0,0,1
106,37,180,3,0,0,0,1
106,38,90,3,0,0,0,1
106,39,45,1,0,0,0,1
106,40,225,1,0,0,0,1
106,41,45,3,0,0,0,1
106,42,270,2,4,0,0,1
106,43,135,3,0,0,11,1
106,44,0,3,0,0,0,1
106,45,135,3,0,0,0,1
106,46,315,3,1,0,0,1
106,47,225,3,3,0,0,1
106,48,45,2,2,0,2,1
106,49,135,3,3,0,0,1
106,50,0,2,0,0,0,1
106,51,90,2,0,0,3,1
106,52,90,3,1,0,0,1
106,53,180,1,1,0,2,1
106,54,225,1,2,0,0,1
106,55,225,2,4,0,0,0
106,56,225,3,0,0,0,1
106,57,90,3,2,0,0,1
106,58,90,1,0,0,0,1
106,59,180,3,0,0,0,1
106,60,45,1,0,0,0,1
106,61,0,1,0,0,0,1
106,62,270,1,0,0,0,1
106,63,0,3,0,9,0,1
106,64,180,2,0,0,1,1
106,65,180,3,2,0,3,1
106,66,315,3,0,0,0,1
106,67,225,2,0,0,0,1
106,68,180,1,7,0,0,1
106,69,0,3,0,0,9,1
106,70,270,1,2,0,0,1
106,71,90,1,0,0,0,1
106,72,0,2,0,0,0,1
106,73,315,1,0,0,0,1
106,74,315,2,0,0,0,1
106,75,180,2,1,0,4,1
106,76,135,3,0,0,0,1
106,77,135,1,5,0,0,1
106,78,270,2,0,0,2,1
106,79,135,1,0,0,17,1
106,80,135,2,0,0,7,1
106,81,45,2,0,0,0,0
106,82,45,2,0,0,0,1
106,83,0,3,0,0,0,1
106,84,0,1,0,0,0,1
106,85,270,3,0,0,0,1
106,86,45,1,0,0,0,1
106,87,180,3,0,0,0,1
106,88,225,1,0,0,0,1
106,89,45,3,0,0,0,1
106,90,270,2,0,0,0,1
106,91,90,2,0,0,2,1
106,92,90,2,0,0,0,1
106,93,270,3,0,0,0,1
106,94,45,1,0,0,0,1
106,95,90,1,0,0,0,1
106,96,270,1,0,0,1,1
107,1,315,1,7,6,0,1
107,2,270,1,0,0,0,0
107,3,0,2,0,2,0,1
107,4,315,2,0,0,0,1
107,5,315,2,8,0,0,1
107,6,0,2,0,0,0,1
107,7,0,1,0,0,0,1
107,8,45,3,0,0,5,1
107,9,270,3,0,0,0,1
107,10,225,3,2,0,5,0
107,11,180,2,0,0,0,0
107,12,315,1,1,0,0,0
107,13,90,1,0,0,0,1
107,14,270,2,0,0,0,0
107,15,135,2,0,0,3,1
107,16,135,2,1,0,0,1
107,17,45,2,0,0,0,1
107,18,315,1,0,0,0,1
107,19,135,1,2,0,0,1
107,20,225,2,0,0,0,0
107,21,225,3,0,0,0,0
107,22,225,2,0,0,0,0
107,23,315,3,0,0,0,1
107,24,0,1,0,0,0,1
107,25,225,1,15,0,0,0
107,26,315,3,10,0,0,1
107,27,270,3,0,0,0,0
107,28,135,2,0,0,0,1
107,29,90,3,0,0,0,1
107,30,180,1,0,0,0,0
107,31,45,3,0,0,0,1
107,32,135,1,0,0,0,1
107,33,45,2,2,0,0,0
107,34,90,2,5,0,3,1
107,35,225,3,0,0,0,0
107,36,135,3,0,0,0,1
107,37,90,3,0,0,0,0
107,38,315,2,0,0,0,0
107,39,180,3,0,0,0,0
107,40,180,2,0,0,4,0
107,41,180,1,0,0,0,0
107,42,225,1,2,0,0,0
107,43,315,3,23,0,0,1
107,44,0,1,1,0,0,1
107,45,225,3,0,0,0,1
107,46,90,3,0,0,0,1
107,47,0,3,10,0,0,1
107,48,225,1,3,0,0,1
107,49,180,3,0,0,0,0
107,50,180,1,0,0,0,1
107,51,180,2,0,0,0,1
107,52,0,3,0,0,0,1
107,53,90,1,0,0,0,1
107,54,90,2,0,0,0,1
107,55,45,1,6,0,0,1
107,56,45,3,3,0,0,1
107,57,90,3,0,0,0,0
107,58,270,2,1,0,0,1
107,59,45,1,0,0,0,1
107,60,135,3,5,0,0,1
107,61,0,2,0,0,0,1
107,62,270,1,0,0,0,1
107,63,135,3,0,0,1,0
107,64,225,2,0,0,0,1
107,65,45,3,0,0,0,1
107,66,270,1,0,0,0,1
107,67,45,1,0,0,0,1
107,68,270,3,2,0,0,1
107,69,0,3,0,0,0,1
107,70,135,2,0,0,0,1
107,71,270,3,2,0,0,1
107,72,225,1,0,0,4,1
107,73,225,2,2,0,0,1
107,74,0,2,10,0,0,1
107,75,270,2,4,0,0,1
107,76,315,2,1,0,0,1
107,77,0,3,0,0,0,1
107,78,135,1,0,0,0,1
107,79,135,1,0,0,0,1
107,80,45,1,3,0,0,0
107,81,90,2,0,0,0,1
107,82,45,2,0,0,0,1
107,83,180,2,0,0,0,0
107,84,45,2,0,0,0,1
107,85,90,1,0,0,0,1
107,86,90,1,3,0,0,1
107,87,180,3,0,0,0,1
107,88,0,1,0,0,0,1
107,89,270,1,0,0,0,1
107,90,315,1,8,0,0,1
107,91,270,2,6,0,0,1
107,92,180,3,0,0,6,1
107,93,90,2,0,0,4,1
107,94,315,3,4,0,0,1
107,95,135,3,0,0,1,1
107,96,180,1,0,0,0,0
108,1,315,1,0,0,0,1
108,2,225,3,0,0,0,1
108,3,315,3,0,0,0,1
108,4,90,1,0,0,0,1
108,5,0,2,0,0,0,1
108,6,270,1,0,0,0,1
108,7,180,1,0,0,0,1
108,8,135,2,0,0,0,1
108,9,270,2,0,8,0,1
108,10,135,2,2,0,0,0
108,11,225,2,0,0,7,1
108,12,135,1,0,0,0,1
108,13,270,3,0,0,12,1
108,14,315,1,0,7,0,1
108,15,0,2,0,0,0,1
108,16,315,2,2,0,0,1
108,17,0,1,0,3,0,1
108,18,90,3,0,0,0,1
108,19,45,2,0,0,0,1
108,20,225,1,0,0,9,1
108,21,315,2,0,2,0,1
108,22,225,3,0,0,0,1
108,23,45,3,0,0,0,1
108,24,180,2,0,0,0,0
108,25,315,1,0,0,0,1
108,26,315,3,0,0,0,1
108,27,45,3,0,0,0,1
108,28,270,3,0,0,0,1
108,29,135,2,0,0,0,1
108,30,0,1,0,0,0,1
108,31,225,2,0,0,0,1
108,32,135,1,0,0,0,1
108,33,315,3,0,0,0,1
108,34,180,2,0,0,0,1
108,35,270,1,0,0,0,1
108,36,90,1,3,0,0,1
108,37,225,3,0,3,8,1
108,38,180,2,1,0,3,1
108,39,45,1,0,0,0,1
108,40,225,1,0,0,0,1
108,41,0,3,0,3,0,1
108,42,270,2,0,0,0,0
108,43,180,1,0,0,0,1
108,44,315,2,0,0,0,1
108,45,90,3,0,0,0,1
108,46,45,2,0,0,0,1
108,47,90,2,0,11,0,0
108,48,225,2,0,0,0,1
108,49,0,3,0,0,0,1
108,50,180,1,0,0,0,0
108,51,180,3,0,0,0,1
108,52,0,1,0,14,0,1
108,53,0,2,0,15,0,1
108,54,45,1,0,0,0,1
108,55,225,1,0,0,0,1
108,56,90,3,0,0,0,1
108,57,135,3,0,0,0,0
108,58,135,3,0,12,1,1
108,59,90,3,0,0,0,1
108,60,135,3,8,0,2,1
108,61,225,3,0,0,8,1
108,62,90,2,0,0,0,1
108,63,180,3,0,18,12,0
108,64,45,3,0,0,0,1
108,65,90,2,10,0,0,1
108,66,0,3,0,0,0,1
108,67,45,2,0,0,0,1
108,68,180,3,0,4,4,1
108,69,90,1,0,0,0,0
108,70,270,1,0,0,0,1
108,71,225,1,0,0,0,1
108,72,225,2,0,0,0,1
108,73,0,1,0,0,0,1
108,74,270,2,0,0,0,0
108,75,315,2,0,0,0,0
108,76,135,2,3,0,0,1
108,77,45,3,0,0,0,1
108,78,270,3,0,0,0,0
108,79,45,1,0,0,0,1
108,80,135,3,0,0,0,1
108,81,270,1,0,0,0,1
108,82,90,2,0,0,0,1
108,83,270,3,0,0,0,1
108,84,180,1,0,0,3,1
108,85,135,1,0,0,5,1
108,86,0,3,0,0,0,1
108,87,0,2,0,0,0,1
108,88,180,3,0,1,2,1
108,89,45,2,0,2,0,1
108,90,315,1,0,6,0,1
108,91,90,1,0,0,0,1
108,92,315,3,2,5,0,1
108,93,135,1,1,0,0,0
108,94,180,2,0,0,0,0
108,95,270,2,0,0,0,1
108,96,45,1,0,0,0,1
110,1,135,1,0,0,3,0
110,2,315,1,0,0,0,1
110,3,180,2,0,0,0,1
110,4,270,2,0,0,2,1
110,5,45,3,0,0,0,1
110,6,270,1,1,0,0,1
110,7,0,2,0,0,0,1
110,8,315,2,0,0,0,1
110,9,225,1,0,0,0,1
110,10,135,2,0,0,0,1
110,11,270,3,0,0,0,0
110,12,180,1,0,0,0,1
110,13,315,1,0,0,0,1
110,14,225,2,0,0,0,1
110,15,135,2,0,0,5,1
110,16,135,2,0,0,5,1
110,17,225,3,0,0,0,1
110,18,315,3,0,0,0,1
110,19,90,3,0,0,0,1
110,20,135,1,0,0,9,1
110,21,0,2,0,0,0,1
110,22,315,3,2,0,0,1
110,23,0,1,0,0,0,1
110,24,0,1,0,0,0,1
110,25,315,2,0,0,0,1
110,26,90,1,0,0,0,1
110,27,225,2,0,0,0,1
110,28,315,1,0,0,0,1
110,29,225,3,0,0,0,1
110,30,45,3,0,0,0,1
110,31,270,3,0,0,0,1
110,32,45,2,0,0,0,1
110,33,45,1,0,0,0,1
110,34,180,2,0,0,2,1
110,35,135,3,0,0,5,1
110,36,315,3,0,0,1,1
110,37,180,2,0,0,0,0
110,38,225,3,0,0,0,1
110,39,45,3,0,0,0,1
110,40,90,1,0,0,0,1
110,41,225,3,0,0,0,1
110,42,0,1,10,0,0,1
110,43,45,1,0,0,0,1
110,44,0,3,0,0,0,1
110,45,315,2,0,0,0,1
110,46,270,2,0,0,0,1
110,47,90,3,0,0,0,1
110,48,225,1,1,0,0,1
110,49,225,1,0,0,0,0
110,50,90,2,0,0,0,1
110,51,135,3,0,0,0,1
110,52,0,3,0,0,0,1
110,53,180,3,0,0,0,0
110,54,90,3,0,0,0,1
110,55,180,1,0,0,0,1
110,56,45,2,0,0,0,1
110,57,90,3,0,0,0,0
110,58,180,1,1,0,1,1
110,59,0,2,0,0,0,1
110,60,225,2,6,0,0,1
110,61,90,2,0,0,0,1
110,62,180,3,0,0,0,0
110,63,135,3,0,0,0,1
110,64,270,1,2,0,3,1
110,65,135,3,0,0,0,1
110,66,90,1,0,0,0,1
110,67,180,2,0,0,0,1
110,68,315,1,0,0,0,1
110,69,45,1,0,0,0,1
110,70,45,1,0,0,0,1
110,71,270,1,0,0,0,1
110,72,315,3,0,0,0,1
110,73,135,1,0,0,0,0
110,74,180,1,0,0,0,1
110,75,0,3,4,0,0,1
110,76,180,3,2,0,0,1
110,77,135,1,0,0,2,1
110,78,270,1,0,0,0,1
110,79,225,1,14,0,0,0
110,80,270,3,0,0,0,1
110,81,45,2,0,0,0,1
110,82,270,3,0,0,0,1
110,83,270,2,0,0,0,1
110,84,270,2,0,0,0,1
110,85,0,2,0,0,0,1
110,86,135,2,0,0,0,1
110,87,45,2,0,0,0,1
110,88,90,1,0,0,0,1
110,89,0,3,0,0,0,1
110,90,180,3,0,0,0,1
110,91,315,2,0,0,0,0
110,92,225,2,0,0,0,1
110,93,90,2,0,0,0,1
110,94,45,3,0,0,0,1
110,95,90,2,0,0,0,1
110,96,0,1,0,0,0,1
112,1,315,1,3,0,0,1
112,2,270,1,0,0,0,1
112,3,225,2,0,0,0,1
112,4,135,2,0,0,0,1
112,5,225,2,0,0,0,1
112,6,0,2,0,0,0,1
112,7,315,3,0,0,0,1
112,8,0,2,0,0,0,1
112,9,180,2,0,0,0,1
112,10,225,1,0,0,0,1
112,11,135,1,0,0,0,1
112,12,45,3,0,0,0,1
112,13,45,3,0,0,0,1
112,14,90,1,0,0,0,1
112,15,315,1,0,0,0,1
112,16,270,2,0,0,0,1
112,17,135,2,0,0,4,1
112,18,315,1,0,0,0,1
112,19,135,2,0,0,0,1
112,20,225,3,0,0,0,1
112,21,315,2,0,0,0,1
112,22,0,1,0,0,0,1
112,23,45,2,0,0,0,1
112,24,135,1,0,0,0,1
112,25,180,1,0,0,0,1
112,26,0,1,0,0,0,1
112,27,225,3,0,0,0,1
112,28,270,3,0,0,0,1
112,29,315,3,0,0,0,1
112,30,90,3,1,0,0,1
112,31,270,3,0,0,0,1
112,32,315,2,0,0,0,1
112,33,45,1,0,0,0,1
112,34,270,1,0,0,0,1
112,35,225,3,0,0,0,1
112,36,180,2,0,0,0,1
112,37,90,3,0,0,0,1
112,38,0,3,0,0,0,1
112,39,90,3,0,0,0,1
112,40,0,2,0,0,0,1
112,41,90,1,0,0,0,1
112,42,180,2,0,0,0,1
112,43,0,3,0,0,0,1
112,44,225,2,3,0,0,1
112,45,45,1,0,0,0,1
112,46,180,1,0,0,0,1
112,47,270,2,0,0,0,1
112,48,90,2,0,0,0,1
112,49,180,3,0,0,0,1
112,50,90,2,0,0,0,1
112,51,225,1,0,0,0,1
112,52,45,3,1,0,0,1
112,53,225,1,0,0,0,1
112,54,135,3,0,0,0,1
112,55,45,2,0,0,0,1
112,56,315,2,0,0,0,1
112,57,0,1,0,0,0,1
112,58,135,3,3,0,0,1
112,59,90,3,0,0,0,1
112,60,180,1,0,0,0,1
112,61,315,3,0,0,0,1
112,62,225,3,0,0,0,1
112,63,135,3,0,0,4,1
112,64,180,3,0,0,0,1
112,65,90,1,0,0,0,1
112,66,90,2,0,0,0,0
112,67,180,3,21,0,0,0
112,68,45,1,0,0,0,1
112,69,90,2,0,0,0,1
112,70,45,1,0,0,0,1
112,71,180,2,0,0,0,1
112,72,45,2,0,0,0,1
112,73,135,3,0,0,0,1
112,74,90,1,0,0,0,1
112,75,0,3,0,0,0,1
112,76,225,1,0,0,0,1
112,77,0,2,0,0,0,1
112,78,270,2,0,0,0,1
112,79,45,2,0,0,0,1
112,80,0,3,0,0,0,1
112,81,315,2,0,0,0,1
112,82,270,1,0,0,0,1
112,83,315,1,0,0,0,1
112,84,135,1,0,0,0,1
112,85,45,3,0,0,0,1
112,86,315,3,0,0,0,1
112,87,270,3,0,0,0,1
112,88,270,2,0,0,0,1
112,89,135,1,0,0,0,1
112,90,180,3,0,0,0,1
112,91,225,2,3,0,0,1
112,92,180,1,0,0,0,1
112,93,135,2,0,0,0,1
112,94,270,3,0,0,0,1
112,95,270,1,0,0,0,1
112,96,0,1,0,0,0,1
114,1,45,3,0,0,0,0
114,2,225,1,2,0,0,1
114,3,315,3,6,0,0,1
114,4,180,2,0,0,0,0
114,5,315,1,0,0,0,1
114,6,135,1,1,0,0,1
114,7,270,2,0,0,0,1
114,8,315,2,5,0,0,1
114,9,0,2,4,0,0,1
114,10,90,1,3,0,0,1
114,11,315,3,0,0,0,1
114,12,0,1,0,0,0,1
114,13,315,1,0,0,1,1
114,14,315,2,2,0,0,1
114,15,225,3,0,0,0,1
114,16,0,1,0,0,0,1
114,17,90,3,0,0,0,1
114,18,225,3,1,0,0,1
114,19,270,3,0,0,0,1
114,20,45,2,1,0,0,1
114,21,270,3,0,0,0,1
114,22,135,2,0,0,0,1
114,23,180,1,14,0,0,1
114,24,225,2,8,0,0,1
114,25,225,2,5,0,0,1
114,26,45,3,0,0,0,1
114,27,135,2,0,0,1,1
114,28,270,1,0,0,0,1
114,29,315,1,0,0,0,1
114,30,135,1,0,0,0,1
114,31,0,2,0,0,0,1
114,32,135,2,0,0,2,1
114,33,180,2,0,0,0,1
114,34,0,3,0,0,0,1
114,35,225,1,0,0,0,0
114,36,45,3,0,0,0,1
114,37,90,3,3,0,0,1
114,38,90,3,0,0,0,1
114,39,45,2,0,0,0,1
114,40,135,3,0,0,0,1
114,41,225,1,0,0,0,1
114,42,225,3,0,0,0,1
114,43,180,3,0,0,0,1
114,44,180,3,0,0,0,1
114,45,270,1,0,0,0,1
114,46,180,2,0,0,0,0
114,47,45,1,0,0,0,1
114,48,180,1,0,0,0,1
114,49,180,1,0,0,0,1
114,50,90,1,0,0,0,1
114,51,135,3,0,0,1,1
114,52,135,3,0,0,0,1
114,53,90,3,0,0,0,1
114,54,315,2,0,0,0,1
114,55,225,3,0,0,0,1
114,56,270,2,0,0,0,1
114,57,0,1,0,0,0,1
114,58,225,2,7,0,0,1
114,59,315,3,0,0,0,1
114,60,45,1,0,0,0,1
114,61,0,3,0,0,0,1
114,62,90,2,0,0,0,1
114,63,0,2,0,0,6,1
114,64,90,2,0,0,0,1
114,65,270,1,0,0,0,1
114,66,135,1,0,0,0,1
114,67,270,2,6,0,0,1
114,68,315,3,0,0,0,1
114,69,90,1,0,0,0,1
114,70,315,1,0,0,1,1
114,71,180,3,0,0,0,1
114,72,45,2,0,0,0,1
114,73,45,1,0,0,0,1
114,74,0,3,2,0,0,1
114,75,225,1,0,0,0,1
114,76,45,3,1,0,1,1
114,77,0,1,0,0,0,1
114,78,135,3,0,0,0,1
114,79,315,2,0,0,0,1
114,80,180,3,1,0,0,1
114,81,135,1,0,0,0,1
114,82,90,2,2,0,0,1
114,83,0,3,0,0,0,1
114,84,270,3,28,0,0,1
114,85,270,3,0,0,0,1
114,86,225,2,0,0,0,1
114,87,90,2,0,0,0,1
114,88,270,2,4,0,0,1
114,89,45,2,0,0,0,1
114,90,90,1,0,0,0,1
114,91,270,1,1,0,0,1
114,92,135,2,1,0,0,1
114,93,180,2,0,0,0,1
114,94,180,1,0,0,0,1
114,95,45,1,0,0,0,1
114,96,0,2,0,0,0,1
601,1,270,3,0,0,10,0
601,2,45,3,3,0,9,0
601,3,270,3,0,0,0,0
601,4,135,1,0,0,18,0
